"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0G890","2020-02-15 00:00:00","24.000","17.000","4.700","20.300","1.000","1014.200","","0.000","-99.000","-99.000","-99.000","26.900","","19.500",""
"C0I540","2020-02-15 00:00:00","3344.000","-99.000","-99.000","3.100","1.000","685.200","","-99.000","-99.000","-99.000","-99.000","5.500","","1.300",""
"C0K390","2020-02-15 00:00:00","31.000","60.000","1.100","20.800","0.940","1013.500","","0.500","-99.000","-99.000","-99.000","27.700","","19.500",""
"C0T9A0","2020-02-15 00:00:00","498.000","7.000","0.700","19.400","0.990","961.300","","0.000","-99.000","-99.000","-99.000","24.700","","17.600",""
"C0AH40","2020-02-15 00:00:00","426.000","-99.000","-99.000","-99.000","-99.000","-99.000","","-99.000","-99.000","-99.000","-99.000","-999.000","","-999.000",""
"C0X280","2020-02-15 00:00:00","22.000","39.000","1.300","21.200","0.900","1014.500","","0.000","-99.000","-99.000","-99.000","27.700","","20.200",""
"C0V620","2020-02-15 00:00:00","18.000","65.000","1.100","22.300","0.930","1014.500","","0.500","-99.000","-99.000","-99.000","27.900","","20.800",""
"C0H960","2020-02-15 00:00:00","120.000","37.000","1.300","21.900","0.940","1002.200","","0.000","-99.000","-99.000","-99.000","29.000","","18.800",""
"C0M530","2020-02-15 00:00:00","1385.000","0.000","0.000","15.600","0.990","872.300","","0.500","-99.000","-99.000","-99.000","22.900","","12.500",""
"C0R170","2020-02-15 00:00:00","26.000","0.000","0.000","22.100","1.000","1013.800","","0.000","-99.000","-99.000","-99.000","29.700","","19.200",""
"C0I420","2020-02-15 00:00:00","305.000","0.000","0.200","19.300","0.910","982.800","","0.000","-99.000","-99.000","-99.000","27.900","","16.200",""
"C0A640","2020-02-15 00:00:00","241.000","0.000","0.000","17.700","0.970","992.600","","2.000","-99.000","-99.000","-99.000","26.700","","16.300",""
"C0A930","2020-02-15 00:00:00","216.000","335.000","1.200","17.000","1.000","992.100","","0.000","-99.000","-99.000","-99.000","22.300","","16.300",""
"C0F9M0","2020-02-15 00:00:00","230.000","339.000","1.200","20.300","0.940","990.800","","0.000","-99.000","-99.000","-99.000","27.300","","18.000",""
"C0AC40","2020-02-15 00:00:00","1079.000","0.000","0.100","14.800","0.990","897.200","","0.000","-99.000","-99.000","-99.000","19.200","","13.600",""
"C0AI00","2020-02-15 00:00:00","188.000","293.000","0.800","17.200","0.990","997.900","","0.000","-99.000","-99.000","-99.000","26.800","","16.900",""
